Rank,Lemma,WeightedScore,RawCount
409,ΜΑΡΤΥΡΙΑΙ,1.463469,64
410,δεύτερος,1.445630,368
411,τετταράκοντα,1.443656,72
412,φείδομαι,1.443460,58
413,τριακόσιοι,1.439386,205
414,μαρτυρέομαι,1.434611,59
415,στρατηγέω,1.432083,127
416,καταπλέω,1.431524,93
417,κάθημαι,1.431430,327
418,καταμαρτυρέω,1.428159,42
419,κέρδος,1.423577,77
420,θάλασσα,1.407917,806
421,στρατόπεδον,1.406555,315
422,στάσις,1.399513,116
423,σοφός,1.397962,125
424,κακηγορία,1.395102,13
425,περιοράω,1.390372,64
426,καθαρός,1.378859,128
427,σχεδόν,1.375724,179
428,κατατίθημι,1.374346,134
429,Μαρτυρία,1.371791,55
430,τρέφω,1.371453,232
431,παρασκευή,1.368721,201
432,φράζω,1.347330,287
433,μειράκιον,1.345254,57
434,μέτειμι,1.344641,101
435,δαίνυμι,1.342011,114
436,κυρία,1.341693,80
437,πρόσοδος,1.336158,113
438,Κλέων,1.336123,70
439,δωροδοκέω,1.328315,42
440,κατάγω,1.325195,122
441,φράτωρ,1.312054,30
442,λοιδορέω,1.310386,81
443,σπουδάζω,1.297755,89
444,διάφορος,1.295423,63
445,χίλιοι,1.294880,122
446,γείτων,1.285736,42
447,συμβάλλω,1.285267,194
448,δοκιμασία,1.283524,22
449,πεντήκοντα,1.280552,180
450,πρέσβις,1.275464,302
451,Δημοχάρης,1.268833,28
452,Θρασύβουλος,1.267958,52
453,βλάβη,1.256958,60
454,παιδίον,1.252351,140
455,φυγή,1.242269,117
456,δημοτικός,1.231343,61
457,καταφεύγω,1.229749,108
458,δουλεύω,1.227798,138
459,περίειμι,1.217546,122
460,πεντακόσιοι,1.213414,111
461,δίαιτα,1.209007,67
462,Νικίας,1.208889,65
463,Πολύευκτος,1.206828,29
464,Φιλόκρατος,1.193538,60
465,θύρα,1.191811,200
466,σύν,1.189995,676
467,θύω,1.187180,263
468,δανάζω,1.185186,36
469,τίμημα,1.183515,40
470,πάγος,1.183466,48
471,πλεονεξία,1.179456,81
472,βιάζω,1.179026,104
473,Φορμίων,1.178345,68
474,ψευδομάριος,1.177749,47
475,πάθος,1.166592,102
476,διόσδιμι,1.162267,43
477,σωφρονέω,1.161765,75
478,συμμαχία,1.161528,248
479,κεφάλαιος,1.157427,78
480,γαμέω,1.148624,149
481,δημεύομαι,1.148334,17
482,στέφανος,1.144101,182
483,καταδουλόω,1.140620,54
484,συγγενεύς,1.137906,52
485,δυστυχέω,1.137339,62
486,Κλεώνυμος,1.136042,32
487,τέλος,1.133817,292
488,φθονέω,1.129920,89
489,Κυρωνίδης,1.120919,16
490,πω,1.116464,266
491,φίλιος,1.114165,89
492,δημός,1.113675,63
493,μέχρι,1.112571,353
494,δικός,1.112029,37
495,πίπτω,1.108225,432
496,φόβος,1.107048,264
497,παρακελεύομαι,1.104402,77
498,χορηγέω,1.104266,43
499,φοβερός,1.094993,72
500,κρείσσων,1.088692,113
501,χαρίζω,1.086913,43
502,νύξ,1.086758,533
503,κληρόνομος,1.083553,30
504,Ν,1.082711,32
505,Νόμος,1.082219,31
506,Δημοσθένης,1.080552,379
507,φιλοτιμία,1.079242,67
508,μεθίστημι,1.076342,85
509,παρανομέω,1.075505,42
510,πρίημι,1.074303,64
511,θάπτω,1.066754,164
512,προστίθημι,1.064250,141
513,διέρχομαι,1.064044,262
514,πόθεν,1.060607,120
515,πρόικ,1.057250,19
516,περιπίπτω,1.055255,83
517,δημοτός,1.051311,35
518,Κόνων,1.044140,63
519,μέλω,1.043639,147
520,δόσις,1.042273,33
521,διαλλάσσω,1.041278,55
522,πανταχόθεν,1.040297,52
523,ΝωΜόω,1.038392,52
524,νύς,1.034432,45
525,ναυμαχία,1.033689,196
526,λυπέω,1.023080,123
527,στεφανόω,1.019679,79
528,θεωρέω,1.018217,156
529,μεταδίδωμι,1.015273,61
530,περιφανής,1.014823,37
531,θεραπεύω,1.009320,150
532,διαφορά,1.006649,79
533,Βυζάντιος,1.006290,124
534,συντίθημι,1.006119,124
535,τετρακόσιοι,1.004964,103
536,Νικία,1.003424,27
537,καθά,0.999398,58
538,μεταπέμπω,0.993083,123
539,διαιτητής,0.990409,45
540,κληρονομέω,0.986748,57
541,ΜΑΡΤΥΡΕΣ,0.985934,47
542,μέμφομαι,0.985613,79
543,βασανίζομαι,0.984682,35
544,σεμνός,0.982860,72
545,προσδοκέω,0.980892,77
546,μέτοικος,0.980105,43
547,Κηφισιάδης,0.973606,20
548,δυνέομαι,0.973508,62
549,Πελοπόννησος,0.971880,290
550,χρέος,0.970813,57
551,μηδαμός,0.970532,78
