Rank,Lemma,Count,RelativeFrequency
594,δοῦλος,124,0.000173
595,μεταπέμπω,123,0.000172
596,λυπέω,123,0.000172
597,θεάομαι,123,0.000172
598,ποιόω,123,0.000172
599,χρεία,123,0.000172
600,χρώς,123,0.000172
601,Μίλητος,123,0.000172
602,κατάγω,122,0.000170
603,προσποιέω,122,0.000170
604,χίλιοι,122,0.000170
605,ξύλον,122,0.000170
606,περίειμι,122,0.000170
607,Νέστωρ,122,0.000170
608,ζοή,122,0.000170
609,κλισία,122,0.000170
610,ὅταν,122,0.000170
611,ἀρχιερεύς,122,0.000170
612,δοκιμάζω,121,0.000169
613,ποιητής,121,0.000169
614,καταστρέφω,120,0.000167
615,πόθεν,120,0.000167
616,τύπτω,120,0.000167
617,τέμνω,120,0.000167
618,κύκλος,119,0.000166
619,Μιλήσιος,119,0.000166
620,στάδιον,119,0.000166
621,μέμαα,119,0.000166
622,Μαρδόνιος,119,0.000166
623,αἰών,119,0.000166
624,τηρέω,118,0.000165
625,συνθήκη,118,0.000165
626,φυγή,117,0.000163
627,Χίος,117,0.000163
628,κράτος,117,0.000163
629,στάσις,116,0.000162
630,δαίμων,116,0.000162
631,κατέρχομαι,115,0.000160
632,πληγή,115,0.000160
633,φορέω,115,0.000160
634,Λυδός,115,0.000160
635,ἀπέρχομαι,115,0.000160
636,παραγγέλλω,114,0.000159
637,χίλιος,114,0.000159
638,διέξειμι,114,0.000159
639,μυρίος,114,0.000159
640,σοφία,114,0.000159
641,συνοικέω,114,0.000159
642,δαίνυμι,114,0.000159
643,χρυσίον,113,0.000158
644,κρείσσων,113,0.000158
645,πρόσοδος,113,0.000158
646,πέλω,113,0.000158
647,ἐκκλησία,113,0.000158
648,ἀγάπη,113,0.000158
649,παράνομος,112,0.000156
650,Σαλαμίς,112,0.000156
651,καθίζω,112,0.000156
652,φράσσω,112,0.000156
653,ποίησις,112,0.000156
654,κίω,112,0.000156
655,ἴδιος,112,0.000156
656,οἶκος,112,0.000156
657,δεσμός,111,0.000155
658,πεντακόσιοι,111,0.000155
659,νομοθέτης,111,0.000155
660,καινός,111,0.000155
661,γεννάω,111,0.000155
662,νίκη,111,0.000155
663,διό,110,0.000153
664,μηχανάομαι,110,0.000153
665,Μακεδονία,110,0.000153
666,νόσος,110,0.000153
667,Κρέων,110,0.000153
668,ἀποθνῄσκω,110,0.000153
669,πρόβατον,109,0.000152
